SSN,Last Name,First Name,Rank,Direct supervisor,Salary,Title
513239153,Berry,Yadiel,2,"Ayers, R",68250,Employee
338130525,Bishop,Wade,2,"Ayers, R",60616,Employee
883648005,Bond,Eugene,2,"Ayers, R",60822,Employee
811393666,Bonilla,Efrain,2,"Duran, G",93150,Employee
432829449,Booth,Roy,2,"Duran, G",85074,Employee
536129153,Boyle,Kenyon,2,"Webb, O",85844,Employee
806114537,Bright,Joseph,2,"Moon, R",62838,Employee
240242229,Brock,Kenna,2,"Baxter, B",71058,Employee
491269397,Brooks,Aryan,2,"Lambert, P",93644,Employee
343024849,Bryant,Bryson,2,"Webb, O",80740,Employee
464998599,Burch,Kobe,2,"Montes, D",72434,Employee
673690544,Burgess,Marcos,2,"Gilmore, G",61382,Employee
567543788,Burns,Devan,2,"Webb, O",87666,Employee
261330828,Burton,Soren,2,"Rubio, K",98776,Employee
254563398,Cain,Rohan,2,"Ayers, R",81614,Employee
224693256,Campos,Konnor,2,"Baxter, B",90604,Employee
551773346,Cantu,Adriel,2,"Baxter, B",97676,Employee
326150030,Chan,Presley,2,"Webb, O",88772,Employee
245813351,Chandler,Maximus,2,"Duran, G",69742,Employee
676859002,Chen,Elliana,2,"Moon, R",78822,Employee
852177883,Chen,Cannon,2,"Ayers, R",79204,Employee
803398843,Clay,Gideon,2,"Ayers, R",62428,Employee
267585715,Cohen,Madden,2,"Gilmore, G",72596,Employee
325710595,Collins,Valentin,2,"Gilmore, G",86050,Employee
761527201,Conrad,Roland,2,"Gilmore, G",85718,Employee
794951119,Cooley,Maddox,2,"Webb, O",82730,Employee
778487260,Cowan,Jefferson,2,"Ayers, R",78600,Employee
422794995,Craig,Duncan,2,"Webb, O",70526,Employee
864865559,Cross,Johnathan,2,"Ayers, R",80432,Employee
912356249,Curry,Memphis,2,"Montes, D",70664,Employee
376618802,Dalton,Haleigh,2,"Ayers, R",85020,Employee
401633004,Daniel,Talia,2,"Gilmore, G",93348,Employee
914352874,Daniels,Marques,2,"Webb, O",93878,Employee
728929032,Dickerson,Cannon,2,"Rubio, K",72040,Employee
553129934,Dougherty,Ezekiel,2,"Webb, O",93388,Employee
855446244,Duke,Kasen,2,"Ayers, R",68316,Employee
812759191,Dunn,Mekhi,2,"Ayers, R",96594,Employee
237037445,Ellison,Deegan,2,"Ayers, R",96074,Employee
793290787,Esparza,Serenity,2,"Gilmore, G",75666,Employee
744808200,Espinoza,Shyla,2,"Webb, O",92082,Employee
511783608,Evans,Jacoby,2,"Duran, G",60200,Employee
560188289,Farrell,Bruno,2,"Duran, G",69442,Employee
559629437,Ferguson,Aniya,2,"Ayers, R",87734,Employee
447798064,Fields,Shirley,2,"Baxter, B",69236,Employee
775005353,Fitzgerald,Javier,2,"Webb, O",73040,Employee
626636534,Floyd,Emiliano,2,"Ayers, R",66918,Employee
558219503,Foley,Tommy,2,"Ayers, R",61594,Employee
499337776,Frost,Jadyn,2,"Gilmore, G",92060,Employee
547316254,Frye,Malcolm,2,"Ayers, R",82698,Employee
541917756,Fuller,Adrien,2,"Ayers, R",92254,Employee
902994928,Gallegos,Brandon,2,"Gilmore, G",60456,Employee
684569636,Gallegos,Moses,2,"Ayers, R",79862,Employee
633136211,Galloway,Dario,2,"Webb, O",99790,Employee
365874807,Garcia,Cornelius,2,"Webb, O",80712,Employee
884699230,Garner,Shaun,2,"Rubio, K",74732,Employee
397853609,Garrison,Adonis,2,"Duran, G",65486,Employee
443643511,Glass,Misael,2,"Ayers, R",82748,Employee
507317822,Gomez,Nadia,2,"Moon, R",86714,Employee
231732364,Gonzalez,Alivia,2,"Webb, O",89590,Employee
794160900,Gonzalez,Danielle,2,"Gilmore, G",92872,Employee
313134161,Good,Lea,2,"Ayers, R",75938,Employee
587079303,Goodwin,Kasen,2,"Webb, O",97552,Employee
805818196,Gordon,Maximus,2,"Gilmore, G",70408,Employee
434223440,Gould,Chace,2,"Webb, O",81366,Employee
228644846,Grimes,Royce,2,"Ayers, R",67208,Employee
410458812,Gross,Katie,2,"Webb, O",84908,Employee
423555352,Guzman,Sawyer,2,"Webb, O",87880,Employee
599988397,Hahn,Triston,2,"Webb, O",94710,Employee
480675735,Hahn,Jarrett,2,"Baxter, B",77646,Employee
415668291,Hale,Tyshawn,2,"Ayers, R",65520,Employee
426847070,Harrell,Bryson,2,"Gilmore, G",72508,Employee
561020282,Harvey,Alfredo,2,"Ayers, R",60150,Employee
564208904,Hayden,Stephen,2,"Gilmore, G",84408,Employee
305881893,Hendrix,Cael,2,"Ayers, R",83844,Employee
506562589,Hendrix,Bailey,2,"Ayers, R",92248,Employee
898006248,Henry,Romeo,2,"Gilmore, G",70718,Employee
884903002,Hess,Malachi,2,"Duran, G",63464,Employee
469692938,Hickman,Dylan,2,"Hooper, N",67218,Employee
737680154,Hicks,Lydia,2,"Rubio, K",86022,Employee
224509775,Hicks,Ernest,2,"Moon, R",86994,Employee
397109761,Hinton,Gia,2,"Baxter, B",94488,Employee
614448506,Hopkins,Cameron,2,"Moon, R",61838,Employee
708955516,Hopkins,Josiah,2,"Baxter, B",92866,Employee
654951200,Horton,Janiyah,2,"Rubio, K",80568,Employee
347370310,Horton,Danny,2,"Gilmore, G",95932,Employee
664736039,House,Dallas,2,"Baxter, B",95704,Employee
381393924,Houston,Jaylon,2,"Gilmore, G",93070,Employee
444370796,Hudson,Josephine,2,"Gilmore, G",62204,Employee
508759831,Hughes,Cannon,2,"Ayers, R",92710,Employee
341547423,Humphrey,Orlando,2,"Baxter, B",98640,Employee
563329101,Hurley,Samson,2,"Webb, O",60564,Employee
897753407,Jackson,Isaiah,2,"Baxter, B",96382,Employee
596360213,Jensen,Kayden,2,"Ayers, R",75902,Employee
347543253,Jimenez,Arthur,2,"Baxter, B",91164,Employee
456659842,Joyce,Kaila,2,"Ayers, R",93780,Employee
606110304,Juarez,Lea,2,"Baxter, B",74328,Employee
745982555,Kaufman,Kayla,2,"Webb, O",95986,Employee
595632305,Kaufman,Ben,2,"Duran, G",62040,Employee
424416353,Kerr,Ashlyn,2,"Rubio, K",76314,Employee
681722118,Kidd,Waylon,2,"Duran, G",74274,Employee
288862834,Koch,Jaydin,2,"Moon, R",73968,Employee
748962937,Koch,Rylee,2,"Ayers, R",67130,Employee
569618401,Krause,Joshua,2,"Gilmore, G",99620,Employee
545075961,Landry,Rudy,2,"Hooper, N",93126,Employee
568187737,Lane,Janiyah,2,"Moon, R",97378,Employee
631557872,Le,Caitlyn,2,"Gilmore, G",90636,Employee
738882477,Le,Maximillian,2,"Duran, G",87082,Employee
221859139,Leblanc,Gia,2,"Webb, O",74874,Employee
340509913,Lindsey,Leia,2,"Gilmore, G",61122,Employee
263462709,Lopez,Tristin,2,"Moon, R",78570,Employee
674827116,Lynn,Maverick,2,"Webb, O",73968,Employee
774986572,Manning,Kyler,2,"Montes, D",74982,Employee
636452808,Marks,Regan,2,"Ayers, R",88608,Employee
571661246,Marquez,Pamela,2,"Ayers, R",90666,Employee
740435627,Massey,Derrick,2,"Gilmore, G",86524,Employee
561303370,Maxwell,Araceli,2,"Ayers, R",86272,Employee
724909673,Maynard,Dixie,2,"Montes, D",65868,Employee
301724697,Mccann,Jamir,2,"Hooper, N",63604,Employee
273846309,Mcclain,Eli,2,"Baxter, B",99320,Employee
234057950,Mccoy,Kaila,2,"Ayers, R",97180,Employee
644966181,Mcguire,Alivia,2,"Gilmore, G",67728,Employee
595302370,Melton,Wayne,2,"Gilmore, G",82968,Employee
541289087,Melton,Ace,2,"Ayers, R",67634,Employee
728250490,Miller,Tyson,2,"Ayers, R",74252,Employee
502269413,Mitchell,Talia,2,"Webb, O",77454,Employee
599162604,Moon,Emery,2,"Rubio, K",97112,Employee
462587015,Morales,Erick,2,"Webb, O",78754,Employee
852167624,Morales,Abel,2,"Webb, O",66144,Employee
529543564,Moyer,Clare,2,"Duran, G",94950,Employee
725288235,Moyer,Jaeden,2,"Ayers, R",99610,Employee
394816614,Munoz,Addisyn,2,"Baxter, B",95424,Employee
714640230,Murillo,Caitlyn,2,"Gilmore, G",62814,Employee
387385293,Nguyen,Jalen,2,"Baxter, B",75104,Employee
598803993,Nichols,Quincy,2,"Webb, O",70320,Employee
725621353,Nicholson,Jaidyn,2,"Ayers, R",76958,Employee
501764609,Nixon,Bryce,2,"Gilmore, G",80352,Employee
573492233,Nolan,Toby,2,"Webb, O",78308,Employee
906730820,Norton,Alma,2,"Gilmore, G",74142,Employee
724089281,Nunez,Maximus,2,"Rubio, K",73786,Employee
911811102,Padilla,Julian,2,"Webb, O",96222,Employee
608133745,Park,Gerardo,2,"Rubio, K",90858,Employee
812890077,Patton,Josephine,2,"Ayers, R",89110,Employee
698945158,Poole,Kyan,2,"Ayers, R",73680,Employee
256157887,Pope,Dawson,2,"Baxter, B",74210,Employee
368842783,Proctor,Taylor,2,"Gilmore, G",78248,Employee
815635500,Reynolds,Rylee,2,"Ayers, R",79294,Employee
404430905,Richard,Jovanni,2,"Ayers, R",92954,Employee
835509461,Riddle,Laney,2,"Ayers, R",95454,Employee
258449432,Rivas,Brenton,2,"Gilmore, G",82720,Employee
607345843,Robbins,Precious,2,"Gilmore, G",69624,Employee
702388765,Robertson,Joaquin,2,"Baxter, B",92022,Employee
615266640,Robinson,Muhammad,2,"Webb, O",92504,Employee
614678015,Robles,Stephanie,2,"Ayers, R",65206,Employee
324482047,Ross,Maximilian,2,"Ayers, R",74174,Employee
490686211,Rowland,Salvatore,2,"Moon, R",67136,Employee
856791027,Rush,Brylee,2,"Webb, O",84018,Employee
605018776,Rush,Bryson,2,"Duran, G",69450,Employee
752915085,Ryan,Pranav,2,"Duran, G",84040,Employee
806983704,Salinas,Gerardo,2,"Duran, G",64444,Employee
464898523,Sampson,Glenn,2,"Ayers, R",73104,Employee
664269521,Sanford,Haleigh,2,"Rubio, K",87340,Employee
857422508,Sawyer,Conrad,2,"Ayers, R",84954,Employee
514719300,Schmidt,Braxton,2,"Webb, O",71378,Employee
877881151,Schmitt,Harley,2,"Baxter, B",96846,Employee
917751291,Serrano,Gael,2,"Gilmore, G",80498,Employee
586342879,Shah,Marlene,2,"Gilmore, G",66868,Employee
241191874,Sherman,Steve,2,"Gilmore, G",85278,Employee
295217644,Sherman,Grayson,2,"Duran, G",64818,Employee
417990500,Singleton,Lilyana,2,"Moon, R",96976,Employee
506769189,Sloan,Zariah,2,"Baxter, B",65442,Employee
707283292,Sosa,Roderick,2,"Gilmore, G",65078,Employee
364533544,Stafford,Serenity,2,"Ayers, R",73970,Employee
338321838,Stanley,Kael,2,"Ayers, R",82490,Employee
435158764,Stone,Milton,2,"Baxter, B",78342,Employee
479498315,Suarez,Alonzo,2,"Baxter, B",82232,Employee
390593125,Sweeney,Abram,2,"Webb, O",96864,Employee
455884709,Taylor,Matilda,2,"Ayers, R",93704,Employee
301207675,Thomas,Eugene,2,"Gilmore, G",98458,Employee
676386898,Thompson,Brogan,2,"Webb, O",62800,Employee
318849895,Torres,Sage,2,"Duran, G",72828,Employee
435811709,Townsend,Lydia,2,"Gilmore, G",80156,Employee
251396260,Travis,Nikhil,2,"Webb, O",87632,Employee
458576073,Tucker,Emely,2,"Gilmore, G",93074,Employee
899577244,Tyler,Selah,2,"Baxter, B",83730,Employee
591808730,Valenzuela,Aniya,2,"Gilmore, G",73850,Employee
794138957,Vega,Cordell,2,"Baxter, B",60190,Employee
719776151,Vega,Alma,2,"Ayers, R",89030,Employee
369740181,Velasquez,Felipe,2,"Duran, G",66486,Employee
822318304,Velasquez,Conner,2,"Ayers, R",84462,Employee
240282290,Villarreal,Kaleb,2,"Montes, D",82016,Employee
526104599,Villegas,Brenna,2,"Ayers, R",73132,Employee
356140581,Wagner,Yadiel,2,"Moon, R",78722,Employee
582554915,Walsh,Agustin,2,"Baxter, B",74010,Employee
725373314,Watts,Brenna,2,"Baxter, B",85996,Employee
596708387,Weeks,Deven,2,"Ayers, R",68322,Employee
531928447,Welch,Hanna,2,"Baxter, B",64296,Employee
231204044,West,Judah,2,"Baxter, B",80916,Employee
523875078,Wheeler,Hunter,2,"Gilmore, G",93716,Employee
523589877,Whitaker,Angelina,2,"Lambert, P",81750,Employee
640306488,Whitney,Reuben,2,"Gilmore, G",78906,Employee
804904501,Winters,Andy,2,"Ayers, R",95596,Employee
256961872,Wise,Ava,2,"Rubio, K",98302,Employee
279037320,Wolfe,Maxim,2,"Webb, O",61360,Employee
407030785,Woods,Leon,2,"Baxter, B",93458,Employee
572719172,Yoder,Dashawn,2,"Duran, G",67434,Employee
756449440,Zuniga,Jamar,2,"Montes, D",99240,Employee
880157960,Zuniga,Hanna,2,"Gilmore, G",84170,Employee
733303657,Barton,Stephanie,8,"Bolton, D",298784,Director
231171488,Gonzales,Terrell,8,"Bolton, D",262040,Director
661075664,Hughes,Vincent,8,"Bolton, D",343936,Director
774295223,Mcintosh,Kenneth,8,"Bolton, D",339952,Director
548472980,Singh,Casey,8,"Travis, M",361504,Director
598735682,Travis,Myah,8,"Bolton, D",304008,Director
